-2.2670027,43.1832386,"Atm"
-2.2695109,43.1812092,"Atm"
-1.143826,40.3619569,"Atm"
-0.5055763,38.3912329,"Atm"
-2.385752,43.3064375,"Atm Kutxa"
-3.6587101,42.3617545,"Atm Caja Madrid"
-3.46831,40.451668,"Atm"
-2.3873813,43.3076037,"Atm Euskadiko Kutxa"
-3.6786329,42.3599643,"Atm Santander"
-3.7002709,42.341507,"Atm Caja de Burgos"
-3.6980361,42.3451684,"Atm Caja Duero"
2.1722367,41.3820531,"Atm La Caixa"
-6.6029438,42.5568518,"Atm"
-6.3954344,39.4675541,"Atm Santander"
-6.395475,39.4675404,"Atm Caja de Extremadura"
2.1678929,41.3847503,"Atm"
-3.7001834,40.4313099,"Atm Bingo"
-2.026449,43.145401,"Atm"
3.1684399,39.7600574,"Atm"
3.1679678,39.7602883,"Atm"
-3.6975933,42.3461152,"Atm EVO"
-3.6789726,42.3486359,"Atm Caja Madrid"
3.0164719,39.8773198,"Atm"
-3.6973462,42.3466663,"Atm Caja de Burgos"
-3.8030031,43.4707748,"Atm"
-3.6802436,42.3595106,"Atm Caja de Burgos"
-6.0885995,40.0289424,"Atm"
-6.0886335,40.0289355,"Atm"
3.1687096,39.3302449,"Atm"
-3.786358,42.9695227,"Atm Caja Círculo"
-2.6891167,42.8405526,"Atm"
-2.68868,42.8403197,"Atm"
-2.6891616,42.8405133,"Atm"
-2.68784,42.8410077,"Atm"
-5.9750621,37.3913239,"Atm"
-5.9742199,37.3896661,"Atm Cajamadrid"
-3.6777326,42.3603977,"Atm Caja Rural Burgos"
-6.0033903,37.3911747,"Atm"
-6.0031256,37.3903814,"Atm"
-6.6041071,42.5534245,"Atm"
-3.4148266,42.7339083,"Atm Caja Rural Burgos"
-3.4153717,42.733912,"Atm BBVA"
-8.5440767,42.8775182,"Atm"
-5.6434817,37.4708845,"Atm"
-4.7196836,41.6738184,"Atm"
3.2026109,42.0552097,"Atm"
3.2028001,42.0551921,"Atm"
3.2032882,42.0549434,"Atm"
-7.051754,37.2109333,"Atm"
-5.983445,37.393034,"Atm"
-6.56392,37.007985,"Atm"
-6.5644716,37.0073704,"Atm"
2.8117583,41.9846835,"Atm"
-2.4750952,43.1832705,"Atm"
-3.3702813,40.4778496,"Atm"
-6.5639685,37.0080013,"Atm"
3.1290529,39.3545113,"Atm"
-0.5296655,39.5663432,"Atm"
-0.3717228,39.4953224,"Atm"
-6.484175,37.131992,"Atm Cajeri Red 6000"
-4.041918,43.4261507,"Atm"
-4.0416189,43.4252916,"Atm"
-4.0403379,43.4240583,"Atm"
-4.1084386,43.3901413,"Atm"
-4.1085341,43.3899898,"Atm"
-5.9429272,37.4877801,"Atm BSCH"
